COMMISSIONER_ORGANISATION_CODE,STPCD,REGIONAL_LOCAL_OFFICE_CODE,REGION_CODE,Appointment_Month,Included Practices,Open Practices,Patients registered at included practices,Patients registered at open practices
00C,E54000049,E39000047,E40000009,01JUL2018,11,11,108428,108428
00C,E54000049,E39000047,E40000009,01AUG2018,11,11,108503,108503
00C,E54000049,E39000047,E40000009,01SEP2018,11,11,108651,108651
00C,E54000049,E39000047,E40000009,01OCT2018,11,11,108634,108634
00C,E54000049,E39000047,E40000009,01NOV2018,11,11,108594,108594
00C,E54000049,E39000047,E40000009,01DEC2018,11,11,108595,108595
00C,E54000049,E39000047,E40000009,01JAN2019,11,11,108625,108625
00C,E54000049,E39000047,E40000009,01FEB2019,11,11,108684,108684
00C,E54000049,E39000047,E40000009,01MAR2019,11,11,108670,108670
00C,E54000049,E39000047,E40000009,01APR2019,11,11,108742,108742
00C,E54000049,E39000047,E40000009,01MAY2019,11,11,108834,108834
00C,E54000049,E39000047,E40000009,01JUN2019,11,11,108868,108868
00C,E54000049,E39000047,E40000009,01JUL2019,11,11,108947,108947
00C,E54000049,E39000047,E40000009,01AUG2019,11,11,109018,109018
00C,E54000049,E39000047,E40000009,01SEP2019,11,11,109060,109060
00C,E54000049,E39000047,E40000009,01OCT2019,11,11,109048,109048
00C,E54000049,E39000047,E40000009,01NOV2019,11,11,109073,109073
00C,E54000049,E39000047,E40000009,01DEC2019,11,11,109061,109061
00D,E54000049,E39000047,E40000009,01JUL2018,38,38,292367,292367
00D,E54000049,E39000047,E40000009,01AUG2018,38,38,292549,292549
00D,E54000049,E39000047,E40000009,01SEP2018,38,38,292752,292752
00D,E54000049,E39000047,E40000009,01OCT2018,38,38,292679,292679
00D,E54000049,E39000047,E40000009,01NOV2018,37,38,292747,292747
00D,E54000049,E39000047,E40000009,01DEC2018,37,37,292701,292701
00D,E54000049,E39000047,E40000009,01JAN2019,37,37,292714,292714
00D,E54000049,E39000047,E40000009,01FEB2019,36,36,292810,292810
00D,E54000049,E39000047,E40000009,01MAR2019,36,36,292812,292812
00D,E54000049,E39000047,E40000009,01APR2019,36,36,292868,292868
00D,E54000049,E39000047,E40000009,01MAY2019,36,36,292908,292908
00D,E54000049,E39000047,E40000009,01JUN2019,35,35,292946,292946
00D,E54000049,E39000047,E40000009,01JUL2019,35,35,293139,293139
00D,E54000049,E39000047,E40000009,01AUG2019,35,35,293240,293240
00D,E54000049,E39000047,E40000009,01SEP2019,35,35,293480,293480
00D,E54000049,E39000047,E40000009,01OCT2019,34,35,289775,293614
00D,E54000049,E39000047,E40000009,01NOV2019,34,34,293647,293647
00D,E54000049,E39000047,E40000009,01DEC2019,34,34,293721,293721
00J,E54000049,E39000047,E40000009,01JUL2018,30,31,256565,259343
00J,E54000049,E39000047,E40000009,01AUG2018,30,30,258773,258773
00J,E54000049,E39000047,E40000009,01SEP2018,30,30,258738,258738
00J,E54000049,E39000047,E40000009,01OCT2018,30,30,258647,258647
00J,E54000049,E39000047,E40000009,01NOV2018,30,30,261494,261494
00J,E54000049,E39000047,E40000009,01DEC2018,30,30,262686,262686
00J,E54000049,E39000047,E40000009,01JAN2019,30,30,262469,262469
00J,E54000049,E39000047,E40000009,01FEB2019,30,30,262320,262320
00J,E54000049,E39000047,E40000009,01MAR2019,30,30,262140,262140
00J,E54000049,E39000047,E40000009,01APR2019,30,30,262013,262013
00J,E54000049,E39000047,E40000009,01MAY2019,30,30,261864,261864
00J,E54000049,E39000047,E40000009,01JUN2019,30,30,261771,261771
00J,E54000049,E39000047,E40000009,01JUL2019,30,30,261564,261564
00J,E54000049,E39000047,E40000009,01AUG2019,30,30,260976,260976
00J,E54000049,E39000047,E40000009,01SEP2019,30,30,261135,261135
00J,E54000049,E39000047,E40000009,01OCT2019,30,30,260763,260763
00J,E54000049,E39000047,E40000009,01NOV2019,30,30,263990,263990
00J,E54000049,E39000047,E40000009,01DEC2019,30,30,264694,264694
00K,E54000049,E39000047,E40000009,01JUL2018,33,33,297552,297552
00K,E54000049,E39000047,E40000009,01AUG2018,33,33,297834,297834
00K,E54000049,E39000047,E40000009,01SEP2018,33,33,298049,298049
00K,E54000049,E39000047,E40000009,01OCT2018,33,33,298049,298049
00K,E54000049,E39000047,E40000009,01NOV2018,33,33,297961,297961
00K,E54000049,E39000047,E40000009,01DEC2018,33,33,298193,298193
00K,E54000049,E39000047,E40000009,01JAN2019,33,33,298219,298219
00K,E54000049,E39000047,E40000009,01FEB2019,33,33,298393,298393
00K,E54000049,E39000047,E40000009,01MAR2019,33,33,298620,298620
00K,E54000049,E39000047,E40000009,01APR2019,32,33,298668,298705
00K,E54000049,E39000047,E40000009,01MAY2019,32,32,298826,298826
00K,E54000049,E39000047,E40000009,01JUN2019,32,32,298884,298884
00K,E54000049,E39000047,E40000009,01JUL2019,32,32,298993,298993
00K,E54000049,E39000047,E40000009,01AUG2019,32,32,299144,299144
00K,E54000049,E39000047,E40000009,01SEP2019,32,32,299250,299250
00K,E54000049,E39000047,E40000009,01OCT2019,32,32,299332,299332
00K,E54000049,E39000047,E40000009,01NOV2019,32,32,299427,299427
00K,E54000049,E39000047,E40000009,01DEC2019,32,32,299415,299415
00L,E54000049,E39000047,E40000009,01JUL2018,41,42,316341,325837
00L,E54000049,E39000047,E40000009,01AUG2018,41,42,316582,326108
00L,E54000049,E39000047,E40000009,01SEP2018,41,42,316796,326354
00L,E54000049,E39000047,E40000009,01OCT2018,41,42,316730,326290
00L,E54000049,E39000047,E40000009,01NOV2018,41,42,316696,326266
00L,E54000049,E39000047,E40000009,01DEC2018,40,42,315579,326405
00L,E54000049,E39000047,E40000009,01JAN2019,40,41,316127,325730
00L,E54000049,E39000047,E40000009,01FEB2019,40,41,316367,326009
00L,E54000049,E39000047,E40000009,01MAR2019,40,41,316687,326328
00L,E54000049,E39000047,E40000009,01APR2019,40,41,317066,326706
00L,E54000049,E39000047,E40000009,01MAY2019,40,41,317487,327139
00L,E54000049,E39000047,E40000009,01JUN2019,40,41,317719,327387
00L,E54000049,E39000047,E40000009,01JUL2019,40,41,317937,327636
00L,E54000049,E39000047,E40000009,01AUG2019,40,41,318129,327849
00L,E54000049,E39000047,E40000009,01SEP2019,40,41,318375,328114
00L,E54000049,E39000047,E40000009,01OCT2019,40,41,318526,328266
00L,E54000049,E39000047,E40000009,01NOV2019,40,41,318589,328316
00L,E54000049,E39000047,E40000009,01DEC2019,40,41,318672,328410
00M,E54000049,E39000047,E40000009,01JUL2018,35,38,279135,296949
00M,E54000049,E39000047,E40000009,01AUG2018,31,38,251387,297309
00M,E54000049,E39000047,E40000009,01SEP2018,35,38,279536,297437
00M,E54000049,E39000047,E40000009,01OCT2018,35,38,279827,297761
00M,E54000049,E39000047,E40000009,01NOV2018,35,38,280062,298032
00M,E54000049,E39000047,E40000009,01DEC2018,35,38,280168,298179
00M,E54000049,E39000047,E40000009,01JAN2019,35,38,280265,298305
00M,E54000049,E39000047,E40000009,01FEB2019,35,38,280525,298602
00M,E54000049,E39000047,E40000009,01MAR2019,35,38,280614,298726
00M,E54000049,E39000047,E40000009,01APR2019,35,38,280712,298851
00M,E54000049,E39000047,E40000009,01MAY2019,35,38,280777,298961
